episode,reward
1,-424.4126078705025
2,-168.49129644073813
3,-233.85605259275155
4,-171.39560156364618
5,-456.7411244662532
6,-372.7708623633239
7,-187.90141829487567
8,-796.7621671330968
9,-291.75198352494954
10,-719.0349491954471
11,-423.94987783351354
12,-636.4048311358821
13,-415.70680192628555
14,-654.5671069673509
15,-258.3229199157384
16,-383.6640459006693
17,-158.19854599265847
18,-543.2309054772998
19,-164.2039501211123
20,-170.44920190839514
21,-259.14018255991334
22,-413.08195256298166
23,-421.64653236359607
24,-399.8831066053138
25,-294.85026491004766
26,-673.0324234257943
27,-512.1386390152211
28,-449.8905637561101
29,-358.721234822548
30,-280.4034027574624
31,-330.46589532290267
32,-273.9717736047771
33,-409.6698618548132
34,-260.55059346025774
35,-228.86877615287176
36,-410.69097016762845
37,-329.39606963926855
38,-459.9069110079253
39,-489.30508147655996
40,-570.7773973108342
41,-319.8656583593679
42,-432.12216615286974
43,-471.6633221797894
44,-360.18058901004423
45,-597.3519878583038
46,-164.95267133871195
47,-167.13741173702363
48,-465.8259564527776
49,-264.7403905994418
50,-300.80828126475774
51,-283.77579020344615
52,-329.3442835508196
53,-312.88990670453916
54,-161.09945541675503
55,-522.5552617350615
56,-328.5399925926709
57,-240.68616656512444
58,-328.1146812920808
59,-245.34181352348673
60,-505.70372746370873
61,-157.0977671979551
62,-227.67084469890833
63,-251.89369912076506
64,-263.6979392183247
65,-408.26496350063866
66,-228.91055085332752
67,-162.93987364871484
68,-159.99762525955654
69,-287.12303373256674
70,-251.44797192782033
71,-159.9520624774489
72,-455.6292974769363
73,-438.7399315213668
74,-161.02322162055222
75,-241.71092527726987
76,-160.48159413490527
77,-244.06943387880108
78,-259.4239714531068
79,-171.28257992549732
80,-155.219081537508
81,-282.5044541304069
82,-249.31865027269995
83,-137.26231976335666
84,-258.77375113320426
85,-295.4702827792302
86,-150.11798259089713
87,-211.72369844900138
88,-418.2066335609078
89,-211.13414430129026
90,-231.84571434180967
91,-231.99398013050924
92,-149.66446698539684
93,-264.90469731687733
94,-261.48846490753243
95,-263.58178642461996
96,-135.73629637241396
97,-245.1906956992535
98,-406.20781911714846
99,-152.13605862045273
100,-235.85045959404025
101,-349.03442712319554
102,-200.15448524684084
103,-154.30759817458178
104,-222.67182631390492
105,-214.61310523116046
106,-246.47281124584055
107,-133.52121517068926
108,-231.68921642576538
109,-142.24900727288866
110,-394.1770027587578
111,-148.9833506681008
112,-234.05805342578216
113,-214.54033365725397
114,-400.1750957429641
115,-224.00530463735944
116,-130.74440870331222
117,-292.0927849898293
118,-423.92584380042376
119,-213.58779870490298
120,-227.31992926789871
121,-251.5182413413641
122,-246.03352593868794
123,-148.51717415050052
124,-443.79576992623123
125,-203.94317400864784
126,-118.25788004760419
127,-134.61897920442615
128,-251.29531852658323
129,-213.24669282722624
130,-434.1988129792603
131,-122.36398585823949
132,-385.1171537488374
133,-194.86291473640827
134,-215.50389430712883
135,-240.57595654522754
136,-243.80966720804042
137,-413.9737556301322
138,-192.4058285555708
139,-178.0445111678695
140,-193.12008678648021
141,-233.10646183204017
142,-383.65219052128356
143,-222.2107797760315
144,-224.81021443106619
145,-372.51107429583385
146,-163.38745910554704
147,-360.83703497276423
148,-113.43117694994727
149,-167.80412708732064
150,-196.20854117083067
151,-115.67911415124217
152,-208.33255106684587
153,-181.2627217024513
154,-348.28378425599345
155,-125.71928497593588
156,-349.9919837912747
157,-342.33080258579963
158,-315.4032570144887
159,-230.44907227426887
160,-123.71143725583457
161,-136.45131880546313
162,-229.51721451515442
163,-354.2283268206495
164,-354.7640345286053
165,-356.9894283227955
