traffic_state,green_phase_probability
Normal,0.34342036
Normal,0.34342036
Normal,0.34342036
Normal,0.33958796
Normal,0.34342036
Normal,0.34146103
Normal,0.33795008
Normal,0.34342036
Normal,0.34342036
Normal,0.34146103
Normal,0.34342036
Normal,0.34146103
Normal,0.34342036
Normal,0.34146103
Normal,0.34342036
Normal,0.34342036
Normal,0.34342036
Normal,0.33757415
Normal,0.34342036
Normal,0.34342036
Normal,0.33958796
Normal,0.34342036
Normal,0.34342036
Normal,0.33958796
Normal,0.34146103
Normal,0.34342036
Normal,0.34146103
Normal,0.34342036
Normal,0.34342036
Normal,0.34097728
Normal,0.32093433
Normal,0.34228018
Normal,0.33570278
Normal,0.30718896
Normal,0.3483214
Normal,0.31727928
Normal,0.30027702
Normal,0.34770632
Normal,0.34789422
Normal,0.33399698
Normal,0.30045334
Normal,0.33528617
Normal,0.33612242
Normal,0.33575997
Normal,0.35391027
Normal,0.34945843
Normal,0.3468427
Normal,0.34141213
Normal,0.34770632
Normal,0.34770632
Normal,0.3424599
Normal,0.31920466
Normal,0.2802339
Normal,0.33820623
Normal,0.32040647
Normal,0.3429261
Normal,0.33415762
Normal,0.2909544
Normal,0.33477414
Normal,0.34026828
Normal,0.34097728
Normal,0.32979128
Normal,0.3502034
Normal,0.3506951
Normal,0.33570278
Normal,0.33995375
Normal,0.32802188
Normal,0.28463495
Normal,0.32267603
Normal,0.34945843
Normal,0.35163072
Normal,0.35358727
Normal,0.33188567
Normal,0.30087525
Normal,0.34342036
Normal,0.33958796
Normal,0.34146103
Normal,0.34169137
Normal,0.33206612
Normal,0.35225162
Normal,0.34106866
Normal,0.31239614
Normal,0.34233662
Normal,0.33023712
Normal,0.27496013
Normal,0.33135936
Normal,0.3459387
Normal,0.35371944
Normal,0.3480634
Normal,0.31775522
Normal,0.2724239
Normal,0.3398968
Normal,0.33958796
Normal,0.33795008
Normal,0.34342036
Normal,0.34328797
Normal,0.33247235
Normal,0.350963
Normal,0.33448848
Normal,0.30818912
Normal,0.33281177
Normal,0.28400338
Normal,0.32013306
Normal,0.35340336
Normal,0.3468427
Normal,0.34945843
Normal,0.34945843
Normal,0.33487964
Normal,0.29110542
Normal,0.34342036
Normal,0.34342036
Normal,0.3391075
Normal,0.32761103
Normal,0.34638834
Normal,0.3435931
Normal,0.34231916
Normal,0.3050471
Normal,0.26707655
Normal,0.33498046
Normal,0.3383663
Normal,0.34694424
Normal,0.35393357
Normal,0.34141213
Normal,0.34770632
Normal,0.3405226
Normal,0.34342036
Normal,0.34342036
Normal,0.34342036
Normal,0.33958796
Normal,0.34342036
Normal,0.34146103
Normal,0.33795008
Normal,0.34342036
Normal,0.34342036
Normal,0.34146103
Normal,0.34342036
Normal,0.34146103
Normal,0.34342036
Normal,0.34146103
Normal,0.34342036
Normal,0.34342036
Normal,0.34342036
Normal,0.33757415
Normal,0.34342036
Normal,0.34342036
Normal,0.33958796
Normal,0.34342036
Normal,0.34342036
Normal,0.33958796
Normal,0.34146103
Normal,0.34342036
Normal,0.34146103
Normal,0.34342036
Normal,0.34342036
Normal,0.34097728
Normal,0.32093433
Normal,0.34228018
Normal,0.33570278
Normal,0.30718896
Normal,0.3483214
Normal,0.31727928
Normal,0.30027702
Normal,0.34770632
Normal,0.34789422
Normal,0.33399698
Normal,0.30045334
Normal,0.33528617
Normal,0.33612242
Normal,0.33575997
Normal,0.35391027
Normal,0.34945843
Normal,0.3468427
Normal,0.34141213
Normal,0.34770632
Normal,0.34770632
Normal,0.3424599
Normal,0.31920466
Normal,0.2802339
Normal,0.33820623
Normal,0.32040647
Normal,0.3429261
Normal,0.33415762
Normal,0.2909544
Normal,0.33477414
Normal,0.34026828
Normal,0.34097728
Normal,0.32979128
Normal,0.3502034
Normal,0.3506951
Normal,0.33570278
Normal,0.33995375
Normal,0.32802188
Normal,0.28463495
Normal,0.32267603
Normal,0.34945843
Normal,0.35163072
Normal,0.35358727
Normal,0.33188567
Normal,0.30087525
Normal,0.34342036
Normal,0.33958796
Normal,0.34146103
Normal,0.34169137
Normal,0.33206612
Normal,0.35225162
Normal,0.34106866
Normal,0.31239614
Normal,0.34233662
Normal,0.33023712
Normal,0.27496013
Normal,0.33135936
